store_id,bucket_key,display_share_pct,revenue_rate,style_slots,expected_rev_index,signal
2031,CASUAL SHIRTS | Mid,45,308576.98,198,13885964.2,INCREASE
2031,FORMAL SHIRTS | Premium,45,358140.64,198,16116328.81,INCREASE
2031,CHINOS | Premium,4,242657.82,17,970631.29,HOLD
2031,CHINOS | Mid,1,121034.09,4,121034.09,REDUCE
2031,FORMAL SHIRTS | Mid,1,215003.92,4,215003.92,REDUCE
2031,POLO TSHIRTS | Economy,1,97833.96,4,97833.96,REDUCE
2031,POLO TSHIRTS | Mid,1,189829.48,4,189829.48,REDUCE
2031,TROUSERS | Mid,1,194230.76,4,194230.76,REDUCE
2031,TROUSERS | Premium,1,204491.69,4,204491.69,REDUCE
2048,CASUAL SHIRTS | Mid,45,308576.98,180,13885964.2,INCREASE
2048,FORMAL SHIRTS | Premium,45,358140.64,180,16116328.81,INCREASE
2048,CHINOS | Premium,2,242657.82,8,485315.64,HOLD
2048,CHINOS | Mid,1,121034.09,4,121034.09,REDUCE
2048,FORMAL SHIRTS | Economy,1,67030.03,4,67030.03,REDUCE
2048,FORMAL SHIRTS | Mid,1,215003.92,4,215003.92,REDUCE
2048,POLO TSHIRTS | Economy,1,97833.96,4,97833.96,REDUCE
2048,POLO TSHIRTS | Mid,1,189829.48,4,189829.48,REDUCE
2048,TROUSERS | Economy,1,32100.0,4,32100.0,REDUCE
2048,TROUSERS | Mid,1,194230.76,4,194230.76,REDUCE
2048,TROUSERS | Premium,1,204491.69,4,204491.69,REDUCE
8171,CASUAL SHIRTS | Mid,45,297551.26,166,13389806.58,INCREASE
8171,FORMAL SHIRTS | Premium,45,300567.57,166,13525540.54,INCREASE
8171,CHINOS | Mid,1,147668.57,3,147668.57,REDUCE
8171,CASUAL SHIRTS | Economy,1,65562.04,3,65562.04,REDUCE
8171,CHINOS | Premium,1,187550.95,3,187550.95,REDUCE
8171,FORMAL SHIRTS | Economy,1,45063.44,3,45063.44,REDUCE
8171,FORMAL SHIRTS | Mid,1,261852.76,3,261852.76,REDUCE
8171,POLO TSHIRTS | Economy,1,132437.4,3,132437.4,REDUCE
8171,POLO TSHIRTS | Mid,1,145274.34,3,145274.34,REDUCE
8171,TROUSERS | Economy,1,64200.0,3,64200.0,REDUCE
8171,TROUSERS | Mid,1,126126.13,3,126126.13,REDUCE
8171,TROUSERS | Premium,1,204491.69,3,204491.69,REDUCE
8194,CASUAL SHIRTS | Mid,45,362309.73,211,16303938.05,INCREASE
8194,FORMAL SHIRTS | Premium,45,357868.61,211,16104087.59,INCREASE
