store_id,bucket_key,display_share_pct,floor_share,cap_share,revenue_rate,style_slots,expected_rev_index,signal
8171,FORMAL SHIRTS | Premium,25,8,25,186081.97,92,4652049.18,INCREASE
8171,CASUAL SHIRTS | Mid,20,7,20,147978.84,74,2959576.72,INCREASE
8171,FORMAL SHIRTS | Mid,19,6,19,141728.03,70,2692832.64,INCREASE
8171,TROUSERS | Premium,11,5,15,106872.13,40,1175593.44,HOLD
8171,CHINOS | Premium,5,5,14,103631.21,18,518156.03,REDUCE
8171,CHINOS | Mid,4,4,13,94402.78,14,377611.11,REDUCE
8171,POLO TSHIRTS | Mid,4,4,11,78792.21,14,315168.83,REDUCE
8171,POLO TSHIRTS | Economy,3,3,9,66959.25,11,200877.74,REDUCE
8171,TROUSERS | Economy,3,3,8,55479.17,11,166437.5,REDUCE
8171,TROUSERS | Mid,3,3,9,67049.18,11,201147.54,REDUCE
8171,CASUAL SHIRTS | Economy,2,2,5,35493.67,7,70987.34,REDUCE
8171,FORMAL SHIRTS | Economy,1,1,3,21037.5,3,21037.5,REDUCE
8194,CHINOS | Premium,29,10,29,242250.0,136,7025250.0,INCREASE
8194,FORMAL SHIRTS | Premium,24,8,24,200305.42,112,4807330.05,INCREASE
8194,CASUAL SHIRTS | Mid,23,8,23,190379.86,108,4378736.84,INCREASE
8194,TROUSERS | Mid,5,5,16,137408.81,23,687044.03,REDUCE
8194,FORMAL SHIRTS | Mid,4,4,11,91453.49,18,365813.95,REDUCE
8194,POLO TSHIRTS | Mid,4,4,13,108301.26,18,433205.02,REDUCE
8194,TROUSERS | Premium,4,4,13,106872.13,18,427488.52,REDUCE
8194,CHINOS | Mid,3,3,8,63588.79,14,190766.36,REDUCE
8194,FORMAL SHIRTS | Economy,2,2,6,51756.1,9,103512.2,REDUCE
8194,CASUAL SHIRTS | Economy,1,1,3,27880.6,4,27880.6,REDUCE
8194,POLO TSHIRTS | Economy,1,1,4,30647.89,4,30647.89,REDUCE
8254,FORMAL SHIRTS | Premium,39,13,39,240832.71,164,9392475.84,INCREASE
8254,CASUAL SHIRTS | Mid,19,6,19,119909.87,79,2278287.55,INCREASE
8254,TROUSERS | Premium,17,6,17,106872.13,71,1816826.23,INCREASE
8254,TROUSERS | Mid,6,5,16,102228.99,25,613373.96,HOLD
8254,CHINOS | Premium,5,5,15,96075.95,21,480379.75,REDUCE
8254,FORMAL SHIRTS | Mid,4,4,13,79635.47,16,318541.87,REDUCE
8254,CASUAL SHIRTS | Economy,3,3,8,52728.4,12,158185.19,REDUCE
8254,CHINOS | Mid,3,3,10,62357.14,12,187071.43,REDUCE
8254,POLO TSHIRTS | Economy,3,3,8,48803.57,12,146410.7,REDUCE
8254,FORMAL SHIRTS | Economy,1,1,4,26400.0,4,26400.0,REDUCE
2031,FORMAL SHIRTS | Premium,30,10,30,209073.37,132,6272201.0,INCREASE
2031,CASUAL SHIRTS | Mid,22,7,22,152756.19,96,3360636.18,INCREASE
2031,CHINOS | Premium,21,7,21,147319.05,92,3093700.09,INCREASE
2031,TROUSERS | Premium,6,5,15,106872.13,26,641232.79,HOLD
2031,FORMAL SHIRTS | Mid,5,5,15,104272.33,22,521361.65,REDUCE
2031,POLO TSHIRTS | Mid,5,5,14,93546.73,22,467733.66,REDUCE
2031,TROUSERS | Mid,5,5,15,102228.99,22,511144.96,REDUCE
2031,CHINOS | Mid,4,4,11,73449.57,17,293798.27,REDUCE
2031,POLO TSHIRTS | Economy,2,2,7,48803.57,8,97607.13,REDUCE
2048,FORMAL SHIRTS | Premium,29,10,29,209073.37,115,6063127.63,INCREASE
2048,CASUAL SHIRTS | Mid,21,7,21,152756.19,84,3207879.99,INCREASE
2048,CHINOS | Premium,20,7,20,147319.05,80,2946381.03,INCREASE
2048,TROUSERS | Premium,8,5,15,106872.13,32,854977.05,HOLD
2048,FORMAL SHIRTS | Mid,5,5,14,104272.33,20,521361.65,REDUCE
2048,TROUSERS | Mid,5,5,14,102228.99,20,511144.96,REDUCE
2048,POLO TSHIRTS | Mid,4,4,13,93546.73,16,374186.93,REDUCE
2048,CHINOS | Mid,3,3,10,73449.57,12,220348.71,REDUCE
2048,FORMAL SHIRTS | Economy,2,2,5,33064.53,8,66129.07,REDUCE
2048,POLO TSHIRTS | Economy,2,2,7,48803.57,8,97607.13,REDUCE
2048,TROUSERS | Economy,1,1,4,27739.58,4,27739.58,REDUCE
8211,FORMAL SHIRTS | Premium,31,10,31,209073.37,143,6481274.36,INCREASE
8211,CASUAL SHIRTS | Mid,23,8,23,152756.19,106,3513392.37,INCREASE
8211,CHINOS | Premium,22,7,22,147319.05,102,3241019.14,INCREASE
8211,FORMAL SHIRTS | Mid,5,5,16,104272.33,23,521361.65,REDUCE
8211,POLO TSHIRTS | Mid,5,5,14,93546.73,23,467733.66,REDUCE
8211,TROUSERS | Mid,5,5,15,102228.99,23,511144.96,REDUCE
8211,CHINOS | Mid,4,4,11,73449.57,18,293798.27,REDUCE
8211,CASUAL SHIRTS | Economy,2,2,6,38700.89,9,77401.78,REDUCE
8211,POLO TSHIRTS | Economy,2,2,7,48803.57,9,97607.13,REDUCE
8211,TROUSERS | Economy,1,1,4,27739.58,4,27739.58,REDUCE
8219,FORMAL SHIRTS | Premium,29,10,29,209073.37,100,6063127.63,INCREASE
8219,CASUAL SHIRTS | Mid,21,7,21,152756.19,72,3207879.99,INCREASE
8219,CHINOS | Premium,21,7,21,147319.05,72,3093700.09,INCREASE
8219,TROUSERS | Premium,9,5,15,106872.13,31,961849.18,HOLD
8219,FORMAL SHIRTS | Mid,5,5,15,104272.33,17,521361.65,REDUCE
8219,TROUSERS | Mid,5,5,14,102228.99,17,511144.96,REDUCE
8219,POLO TSHIRTS | Mid,4,4,13,93546.73,13,374186.93,REDUCE
8219,CHINOS | Mid,3,3,10,73449.57,10,220348.71,REDUCE
8219,POLO TSHIRTS | Economy,2,2,7,48803.57,6,97607.13,REDUCE
8219,TROUSERS | Economy,1,1,4,27739.58,3,27739.58,REDUCE
