SAP_STORECODE,NAME,REGION,STATE,BRAND,SUBBRAND,CATEGORY,SUBCLASS,STYLECODE,ITEM_ID,ITEMSIZE,COLOR,SEASON,GENDER,QUALITY,INVOICE_DATE,QUANTITY,UNITMRP,NETAMT,DISCOUNT,TOTAL_MRP,INVOICETYPE,FASHION
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,NAVY,AW24,M,Q1,2026-03-18,2,3200,4600,1800,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,WHITE,AW24,M,Q1,2026-03-19,4,3200,11600,1200,12800,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,NAVY,AW24,M,Q1,2026-03-20,5,3200,12000,4000,16000,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,GREY,AW24,M,Q1,2026-03-21,6,3200,13800,5400,19200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,WHITE,AW24,M,Q1,2026-03-22,5,3200,13500,2500,16000,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,BLUE,AW24,M,Q1,2026-03-24,4,3200,10400,2400,12800,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,GREY,AW24,M,Q1,2026-03-25,3,3200,8400,1200,9600,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,WHITE,AW24,M,Q1,2026-03-26,3,3200,7200,2400,9600,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,BLACK,AW24,M,Q1,2026-03-28,4,3200,11200,1600,12800,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,WHITE,AW24,M,Q1,2026-04-03,2,3200,4600,1800,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,BLACK,AW24,M,Q1,2026-04-06,4,3200,9600,3200,12800,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,BLACK,AW24,M,Q1,2026-04-07,3,3200,8100,1500,9600,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,BLUE,AW24,M,Q1,2026-04-10,6,3200,16200,3000,19200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,NAVY,AW24,M,Q1,2026-04-11,4,3200,10800,2000,12800,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,WHITE,AW24,M,Q1,2026-04-12,3,3200,6600,3000,9600,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_S,S,GREY,AW24,M,Q1,2026-04-13,1,3200,2200,1000,3200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,NAVY,AW24,M,Q1,2026-03-17,2,3200,4200,2200,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,GREY,AW24,M,Q1,2026-03-19,6,3200,15000,4200,19200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,NAVY,AW24,M,Q1,2026-03-20,2,3200,5400,1000,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,NAVY,AW24,M,Q1,2026-03-21,6,3200,14400,4800,19200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,BLUE,AW24,M,Q1,2026-03-22,2,3200,4200,2200,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,WHITE,AW24,M,Q1,2026-03-23,1,3200,2300,900,3200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,GREY,AW24,M,Q1,2026-03-24,2,3200,4400,2000,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,NAVY,AW24,M,Q1,2026-03-26,5,3200,10500,5500,16000,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,WHITE,AW24,M,Q1,2026-03-27,5,3200,11000,5000,16000,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,BLACK,AW24,M,Q1,2026-03-29,5,3200,11500,4500,16000,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,WHITE,AW24,M,Q1,2026-03-30,4,3200,11200,1600,12800,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,NAVY,AW24,M,Q1,2026-04-02,5,3200,11500,4500,16000,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,BLUE,AW24,M,Q1,2026-04-05,6,3200,15000,4200,19200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,NAVY,AW24,M,Q1,2026-04-06,2,3200,4800,1600,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,BLACK,AW24,M,Q1,2026-04-09,1,3200,2100,1100,3200,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,WHITE,AW24,M,Q1,2026-04-10,2,3200,4400,2000,6400,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,NAVY,AW24,M,Q1,2026-04-11,4,3200,8800,4000,12800,SALES,CORE
8194,MG Road|BLR,KAR,Karnataka,Arrow,Arrow,FORMAL SHIRTS,FORMAL SHIRTS_SUB,ARW1001,ARW1001_M,M,BLUE,AW24,M,Q1,2026-04-13,4,3200,8400,4400,12800,SALES,CORE
